                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2325,                  7.384,                 4.2741,                      0,                      0,                      0,                      0,                 3.6437,                  7.159,                 4.1609,                0.00014,                0.00014,                0.00014
                      2,                 4.5507,                 8.0023,                 4.2161,                      0,                      0,                      0,                      0,                 3.6503,                 7.1671,                 4.1603,             0.00029901,             0.00029901,             0.00029901
                      3,                  3.903,                 6.0909,                 4.1958,                      0,                      0,                      0,                      0,                 3.6472,                   7.17,                 4.1586,             0.00045696,             0.00045696,             0.00045696
                      4,                 4.0998,                 5.9418,                 4.1521,                      0,                      0,                      0,                      0,                 3.6463,                 7.1787,                 4.1546,             0.00061386,             0.00061386,             0.00061386
                      5,                 3.7386,                  5.921,                 4.0954,                      0,                      0,                      0,                      0,                 3.6391,                 6.7925,                  4.152,              0.0007697,              0.0007697,              0.0007697
                      6,                  3.871,                  5.655,                 3.8727,                      0,                      0,                      0,                      0,                 3.6255,                 6.3422,                 4.1479,             0.00092449,             0.00092449,             0.00092449
                      7,                 3.3279,                  4.681,                 3.6116,                      0,                      0,                      0,                      0,                    3.6,                  5.097,                  4.143,              0.0010782,              0.0010782,              0.0010782
                      8,                 2.9858,                 3.9742,                 3.2255,                      0,                      0,                      0,                      0,                 3.5599,                 5.0547,                 4.1472,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.7786,                 3.4775,                 3.0706,                      0,                      0,                      0,                      0,                 3.4827,                 5.4869,                 4.0899,              0.0013825,              0.0013825,              0.0013825
                     10,                 2.7965,                 3.2889,                 2.9512,                      0,                      0,                      0,                      0,                 3.4263,                 5.5014,                 4.0587,              0.0015331,              0.0015331,              0.0015331
                     11,                 2.8322,                 2.8621,                 2.4937,                      0,                      0,                      0,                      0,                 3.3049,                 4.6035,                 3.9869,              0.0016826,              0.0016826,              0.0016826
                     12,                 2.6763,                 2.5369,                 2.3412,                 0.0013,                0.03125,                0.00069,                0.00017,                 3.1555,                 4.2706,                 3.6309,               0.001831,               0.001831,               0.001831
                     13,                 2.6687,                 2.5057,                 2.3356,                0.00404,                  0.125,                 0.0263,                0.01333,                 2.6521,                 4.0193,                 2.9755,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.5918,                 2.3004,                 2.2663,                0.26068,                0.09375,                0.04112,                0.01415,                 2.5042,                 3.4005,                  2.539,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.6326,                 2.2114,                 1.9488,                0.24363,                0.10938,                0.09154,                0.03913,                 2.4772,                 2.9267,                 2.1496,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.4301,                 2.0001,                 1.8719,                0.13927,                0.14062,                0.05469,                0.01802,                 2.9178,                 3.3917,                 2.1268,               0.001901,               0.001901,               0.001901
                     17,                 2.4757,                 2.0112,                  1.823,                0.17571,                0.32812,                0.12303,                0.03561,                 2.7077,                 3.3331,                 1.8463,              0.0018944,              0.0018944,              0.0018944
                     18,                 2.2231,                 1.7676,                 1.7112,                0.46007,                0.35938,                0.28806,                 0.1032,                 2.3924,                 1.9533,                 1.5754,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.3285,                 1.7895,                 1.6414,                0.60222,                0.34375,                0.39335,                0.13444,                 2.2235,                 1.7028,                 1.4815,              0.0018812,              0.0018812,              0.0018812
                     20,                 2.2976,                 1.8083,                 1.6616,                0.63468,                0.42188,                0.47147,                 0.1612,                 2.2141,                 1.6758,                 1.4337,              0.0018746,              0.0018746,              0.0018746
                     21,                 2.1358,                 1.6524,                 1.5635,                0.50178,                0.36199,                0.36788,                0.16271,                 2.1179,                 1.6191,                 1.3255,               0.001868,               0.001868,               0.001868
                     22,                 2.1215,                 1.5491,                 1.4955,                0.52807,                    0.5,                 0.4293,                0.17318,                 2.1484,                 1.6849,                 1.3177,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.1893,                 1.5799,                 1.4676,                0.59255,                0.54688,                0.53332,                0.19277,                 2.1315,                 1.6078,                 1.2874,              0.0018548,              0.0018548,              0.0018548
                     24,                 2.1053,                 1.5205,                 1.3973,                 0.6117,                0.60938,                0.62294,                0.22272,                 2.0852,                 1.3504,                  1.282,              0.0018482,              0.0018482,              0.0018482
                     25,                 2.0681,                 1.4634,                 1.4473,                0.50948,                    0.5,                0.49639,                0.21021,                 2.1696,                 1.4581,                 1.2621,              0.0018416,              0.0018416,              0.0018416
                     26,                 2.0558,                 1.3713,                 1.3981,                0.44037,                0.57812,                0.46743,                0.17106,                 2.1675,                 1.5463,                 1.2768,               0.001835,               0.001835,               0.001835
                     27,                 2.1163,                 1.6002,                 1.5172,                0.67648,                0.67188,                0.69821,                0.26462,                 2.0339,                  1.386,                 1.1689,              0.0018284,              0.0018284,              0.0018284
                     28,                 2.0946,                 1.4197,                 1.3849,                0.52004,                0.76562,                0.60864,                0.22974,                 2.0206,                 1.4505,                  1.189,              0.0018218,              0.0018218,              0.0018218
                     29,                 2.0309,                 1.4314,                 1.3651,                 0.7019,                0.73582,                0.75189,                0.29499,                 1.9518,                 1.3277,                  1.195,              0.0018152,              0.0018152,              0.0018152
