                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75833,                 2.0291,                 3.2393,                 1.0154,                0.00336,                   0.48,                0.11601,                0.11583,                0.00349,                    0.5,                0.11608,                0.11594,                 0.5994,                 1.6632,                 3.2309,                0.98077,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.80575,                 1.6873,                 3.2927,                0.95577,                0.00322,                   0.46,                0.11669,                0.11656,                0.00335,                   0.48,                0.11686,                0.11674,                0.60403,                 1.6556,                 3.2214,                 0.9721,             4.9845e-05,             4.9845e-05,             4.9845e-05
                      3,                0.71176,                 1.5631,                 3.2654,                0.97734,                0.00336,                   0.48,                0.12381,                 0.1236,                0.00361,                   0.52,                 0.1241,                0.12386,                0.61102,                  1.651,                 3.2107,                0.96488,               8.28e-05,               8.28e-05,               8.28e-05
                      4,                0.65931,                 1.5336,                  3.224,                0.96478,                0.00403,                   0.58,                0.40515,                0.39984,                0.00494,                   0.72,                 0.4127,                0.40958,                0.59766,                 1.3965,                 3.1817,                0.92741,             0.00011553,             0.00011553,             0.00011553
                      5,                0.70413,                 1.0358,                 2.8224,                0.91244,                0.00509,                   0.74,                0.50228,                0.47488,                0.00621,                   0.92,                0.50904,                0.49993,                0.63736,                 1.0839,                 3.0295,                 0.8913,             0.00014805,             0.00014805,             0.00014805
                      6,                0.66407,                0.88558,                 2.1869,                 0.9039,                      1,                0.40025,                 0.5433,                0.49228,                      1,                0.40025,                0.54858,                 0.5351,                0.66231,                 1.0383,                 2.8016,                0.88611,             0.00018034,             0.00018034,             0.00018034
                      7,                0.65932,                0.91362,                 1.8128,                0.89371,                      1,                0.41261,                0.55508,                 0.4995,                      1,                0.41261,                0.55854,                0.53819,                0.69909,                0.97274,                  2.597,                0.88144,             0.00021242,             0.00021242,             0.00021242
                      8,                0.63384,                0.95035,                 1.4797,                0.88382,                      1,                0.41839,                0.66325,                0.56183,                      1,                0.41839,                0.66594,                0.60947,                0.73424,                 1.0732,                 2.4032,                0.87598,             0.00024427,             0.00024427,             0.00024427
                      9,                0.64182,                 0.8183,                 1.1912,                0.89004,                      1,                0.41832,                0.69099,                0.58293,                      1,                0.41832,                0.70848,                0.63878,                0.75307,                 1.0579,                 2.3369,                0.87472,             0.00027591,             0.00027591,             0.00027591
                     10,                0.63528,                0.73153,                 1.2657,                0.86713,                      1,                0.41827,                0.78311,                0.63797,                      1,                0.41827,                0.78996,                 0.6958,                0.67964,                0.94765,                 2.3134,                0.85208,             0.00030732,             0.00030732,             0.00030732
                     11,                0.62512,                0.77094,                 1.0756,                0.87957,                      1,                0.41502,                0.88444,                0.71598,                      1,                0.41502,                0.88444,                0.76756,                0.66997,                0.84485,                 2.3508,                 0.8349,             0.00033852,             0.00033852,             0.00033852
                     12,                0.69035,                0.75442,                 1.2776,                0.89038,                      1,                0.39044,                0.91537,                0.74281,                      1,                0.39044,                0.92051,                 0.8057,                0.65382,                0.76124,                 2.4454,                0.82715,             0.00036949,             0.00036949,             0.00036949
                     13,                0.54875,                 0.6736,                 1.0094,                0.86644,                      1,                0.39435,                0.88112,                0.74456,                      1,                0.39435,                0.89491,                0.79804,                0.62236,                0.73128,                 2.4099,                 0.8166,             0.00040025,             0.00040025,             0.00040025
                     14,                0.58294,                 0.7423,                 1.0322,                0.88934,                      1,                0.40885,                0.81873,                0.69365,                      1,                0.40885,                0.82139,                0.73924,                0.60361,                0.79877,                 2.3657,                0.81601,             0.00043078,             0.00043078,             0.00043078
